調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
さいたま市,さいたま市 都市局まちづくり推進部 （都市局まちづくり推進部）,東浦和地区説明会資料作成等業務,指名競争入札,2026-05-19,2026,,,,3300000,昭和株式会社 埼玉支社,5,発注者支援,false,,
さいたま市,さいたま市 財政局契約管理部 契約課,ＪＣＨＯさいたま北部医療センター跡地周辺道路詳細設計等業務,指名競争入札,2026-05-14,2026,6000000,6000000,4732000,4733000,塩川設計測量株式会社 本店,6,道路,false,0.789,0.789
さいたま市,さいたま市 財政局契約管理部 契約課,浦和東部第一特定土地区画整理事業 道路詳細設計等業務（Ｒ８）,指名競争入札,2026-05-14,2026,6730000,6730000,5349000,5349000,株式会社ジェーエステック 本店,7,道路,false,0.795,0.795
さいたま市,さいたま市 財政局契約管理部 契約課,大門下野田特定土地区画整理事業 道路詳細設計等業務（Ｒ８）,指名競争入札,2026-05-14,2026,6990000,6990000,5547000,5547000,株式会社日本水工コンサルタント 関東支店,7,道路,false,0.794,0.794
さいたま市,さいたま市 財政局契約管理部 契約課,岩槻駅西口土地区画整理事業 境堀排水路詳細設計業務（Ｒ８）,指名競争入札,2026-05-14,2026,7230000,7230000,5804000,6980000,サンコーコンサルタント株式会社 北関東支店,6,都市計画,false,0.965,0.803
さいたま市,さいたま市 水道局業務部 管財課,配水支管布設工事（その３）の実施設計,指名競争入札,2026-05-14,2026,4130000,4130000,3315000,3315000,株式会社東都コンサルタント 本店,5,上水道,false,0.803,0.803
さいたま市,さいたま市 水道局業務部 管財課,老朽管布設替工事（その１）の実施設計,指名競争入札,2026-05-14,2026,3430000,3430000,2753000,3200000,トーカイテック株式会社 本店,5,上水道,false,0.933,0.803
さいたま市,さいたま市 水道局業務部 管財課,配水支管布設工事（その２）の実施設計,指名競争入札,2026-05-14,2026,4110000,4110000,3227000,3880000,共進調査設計株式会社 本店,5,上水道,false,0.944,0.785
さいたま市,さいたま市 水道局業務部 管財課,配水支管布設工事（その１）の実施設計,指名競争入札,2026-05-14,2026,4540000,4540000,3643000,3643000,カツミテクノ株式会社 本店,5,上水道,false,0.802,0.802
さいたま市,さいたま市 建設局南部建設事務所 河川整備課,河川管理施設等構造照査業務（南河単契R8）,指名競争入札,2026-05-12,2026,,,,3300000,東京コンサルタンツ株式会社 さいたま事務所,8,河川・砂防,false,,
さいたま市,さいたま市 都市局まちづくり推進部 （都市局まちづくり推進部）,東浦和第二土地区画整理事業 仮換地指定変更及び杭打測量業務［単価契約R8］,指名競争入札,2026-05-12,2026,,,,505000,株式会社日測 埼玉支店,9,測量,false,,
さいたま市,さいたま市 都市局まちづくり推進部 （都市局まちづくり推進部）,浦和東部第一特定土地区画整理事業 駅前街区保留地公募支援等業務,指名競争入札,2026-05-12,2026,,,,4500000,株式会社ＵＲリンケージ 埼玉事務所,5,都市計画,false,,
さいたま市,さいたま市 都市局まちづくり推進部 （都市局まちづくり推進部）,南与野駅西口土地区画整理事業 換地設計修正外業務（Ｒ８単契）,随意契約,2026-05-12,2026,,,,,,3,都市計画,true,,
