取得日時,入札方式,調達案件名称,案件番号,開札日,年度,設計額,予定価格,調査基準価格,課所名,発注部局,落札業者名,落札金額,参加業者数,分野分類,発注方式,不調,落札率,調査価格率
2026/05/20 14:26:38,随意契約,歩道整備工事（蓮田・東工区歩道整備協議資料作成業務委託）,26100158488,2026-05-15,2026,1710000,1710000,,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,,,3,道路,随意契約,true,,
2026/05/20 14:26:42,指名競争入札,災害防除工事（地すべり調査業務委託）,26000004812,2026-05-14,2026,6110000,6110000,4812000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,株式会社復建技術コンサルタント 埼玉事務所,4812000,14,河川・砂防,指名競争入札,false,0.788,0.788
2026/05/20 14:26:44,指名競争入札,８埼６設第２号保全計画策定業務委託（豊廼排水機場）,26000013319,2026-05-14,2026,7230000,7230000,5798000,埼玉県 農林部 農村整備計画センター,農林部,新日本設計株式会社 関東事務所,6850000,11,農業土木,指名競争入札,false,0.947,0.802
2026/05/20 14:26:46,指名競争入札,８北情設第１号水管理施設実施計画策定業務委託,26000012456,2026-05-14,2026,4670000,4670000,3752000,埼玉県 農林部 農村整備計画センター,農林部,旭工榮株式会社 本店,4500000,11,農業土木,指名競争入札,false,0.964,0.803
2026/05/20 14:26:48,指名競争入札,８騎情設第１号水管理施設実施計画策定業務委託,26000012139,2026-05-14,2026,5720000,5720000,4592000,埼玉県 農林部 農村整備計画センター,農林部,若鈴コンサルタンツ株式会社 埼玉事務所,5400000,11,農業土木,指名競争入札,false,0.944,0.803
2026/05/20 14:26:50,指名競争入札,８桜奈設第１号奈倉橋事業計画策定業務委託,26000012945,2026-05-14,2026,6400000,6400000,5138000,埼玉県 農林部 農村整備計画センター,農林部,株式会社日本設計コンサルタント 本店,6200000,11,橋梁,指名競争入札,false,0.969,0.803
2026/05/20 14:26:53,指名競争入札,８北河設第１号用水路整備事業計画策定業務委託,26000012518,2026-05-14,2026,5760000,5760000,4626000,埼玉県 農林部 農村整備計画センター,農林部,株式会社日本精測コンサルタント 本店,5480000,11,農業土木,指名競争入札,false,0.951,0.803
2026/05/20 14:26:55,指名競争入札,８道閑設第１号排水機場等事業計画策定業務委託,26000013288,2026-05-14,2026,2470000,2470000,,埼玉県 農林部 農村整備計画センター,農林部,株式会社日本精測コンサルタント 本店,2280000,10,農業土木,指名競争入札,false,0.923,
2026/05/20 14:26:57,指名競争入札,８霧谷設第１号ため池整備事業計画策定業務委託,26000012159,2026-05-14,2026,4530000,4530000,3639000,埼玉県 農林部 農村整備計画センター,農林部,株式会社栄設計 埼玉事務所,4350000,10,農業土木,指名競争入札,false,0.96,0.803
2026/05/20 14:26:59,指名競争入札,８下八設第１号変更事業計画書作成業務委託,26000010974,2026-05-14,2026,7220000,7220000,5797000,埼玉県 農林部 春日部農林振興センター,農林部,株式会社日本精測コンサルタント 本店,6880000,11,農林土木,指名競争入札,false,0.953,0.803
2026/05/20 14:27:05,指名競争入札,８弥設第１号ほ場整備事業計画策定業務委託,26000012081,2026-05-14,2026,8600000,8600000,6902000,埼玉県 農林部 農村整備計画センター,農林部,旭工榮株式会社 本店,8400000,12,農業土木,指名競争入札,false,0.977,0.803
2026/05/20 14:27:07,随意契約,赤木慈光線森林管理道調査業務,26000010726,2026-05-13,2026,1800000,1800000,,埼玉県 農林部 寄居林業事務所,農林部,,,3,測定・検査・調査,随意契約,true,,
2026/05/20 14:27:09,指名競争入札,道路改築工事（蓮田杉戸線・雨水排水施設計画検討業務委託）,26100158303,2026-05-08,2026,7649000,7649000,6146000,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,株式会社日本設計コンサルタント 本店,6146000,12,道路,指名競争入札,false,0.804,0.804
2026/05/20 14:27:11,一般競争入札（ダイレクト入札）,ダム等施設管理工事（合角ダム水質調査業務委託）,25100157963,2026-04-28,2026,15406000,15406000,11671000,埼玉県 県土整備部 秩父県土整備事務所,県土整備部,一般社団法人埼玉県環境検査研究協会 本店,11671000,9,河川・砂防,一般競争入札（ダイレクト入札）,false,0.758,0.758
2026/05/20 14:27:14,随意契約,行政手続支援業務委託,26000006076,2026-04-28,2026,1345000,1345000,,埼玉県 環境部 環境整備センター,その他部局,,,3,発注者支援,随意契約,true,,
2026/05/20 14:27:16,随意契約,橋りょう修繕工事（環境対策検討業務委託その１）３７１,25100158068,2026-04-23,2026,17688000,17688000,,埼玉県 県土整備部 熊谷県土整備事務所,県土整備部,,,1,橋梁,随意契約,true,,
2026/05/20 14:27:18,一般競争入札（ダイレクト入札）,埼玉県第１４次埼玉県鳥獣保護管理事業計画策定支援業務,202604073,2026-04-23,2026,6507000,6507000,4881000,埼玉県 環境部 みどり自然課,その他部局,一般財団法人自然環境研究センター 本店,5250000,3,発注者支援,一般競争入札（ダイレクト入札）,false,0.807,0.75
2026/05/20 14:27:20,一般競争入札（ダイレクト入札）,路面下空洞調査業務委託その３,25100158088,2026-04-23,2026,22725000,22725000,8248000,埼玉県 県土整備部 道路環境課,県土整備部,株式会社協和地質コンサルタント 本店,8248000,11,道路,一般競争入札（ダイレクト入札）,false,0.363,0.363
2026/05/20 14:27:22,一般競争入札（ダイレクト入札）,路面性状調査業務委託（システムデータ整備）,25100158085,2026-04-23,2026,17329000,17329000,13910000,埼玉県 県土整備部 道路環境課,県土整備部,株式会社保全工学研究所 埼玉事務所,13910000,6,道路,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:27:24,一般競争入札（ダイレクト入札）,社資（砂防）工事（基礎調査マニュアル改訂等業務委託）,25100158082,2026-04-22,2026,22725000,22725000,18238000,埼玉県 県土整備部 河川砂防課,県土整備部,株式会社日本インシーク 埼玉支店,18238000,7,河川・砂防,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:27:30,一般競争入札（ダイレクト入札）,（ゼロ債務）０２５大改第６６２号 大久保浄水場・新三郷浄水場ろ過池降灰対策覆蓋化概略検討業務委託,25100157490,2026-04-21,2026,56136000,56136000,45062000,埼玉県 企業局 大久保浄水場,企業局,株式会社東京設計事務所 関東事務所,45062000,2,上水道,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:27:32,一般競争入札（ダイレクト入札）,ダム等施設管理工事（権現堂調節池 水質調査業務委託）,25100157971,2026-04-21,2026,6669000,6669000,5081000,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,復建調査設計株式会社 埼玉事務所,5951000,8,河川・砂防,一般競争入札（ダイレクト入札）,false,0.892,0.762
2026/05/20 14:27:34,簡易公募型／公募型プロポーザル方式,道路改築工事（橋りょう設計の手引き改定業務委託）,25100156789,2026-04-20,2026,16953000,16953000,,埼玉県 県土整備部 道路街路課,県土整備部,,,1,橋梁,簡易公募型／公募型プロポーザル方式,true,,
2026/05/20 14:27:38,指名競争入札,６８３０水質調査業務委託,25100157857,2026-04-16,2026,6422000,6422000,4915000,埼玉県 県土整備部 さいたま県土整備事務所,県土整備部,エヌエス環境株式会社 東京支社,4915000,11,測定・検査・調査,指名競争入札,false,0.765,0.765
2026/05/20 14:27:40,指名競争入札,砂防施設工事（Ｒ８柳沢地すべり観測業務委託）,25100158033,2026-04-14,2026,8771000,8771000,6935000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社エイト日本技術開発 北関東支店,6935000,13,河川・砂防,指名競争入札,false,0.791,0.791
2026/05/20 14:27:42,指名競争入札,砂防施設工事（Ｒ８柴地すべり観測業務委託）,25100158028,2026-04-14,2026,8973000,8973000,7097000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,応用地質株式会社 東京支社,7097000,13,河川・砂防,指名競争入札,false,0.791,0.791
2026/05/20 14:27:44,一般競争入札（ダイレクト入札）,５３１９街路整備工事（費用便益分析業務委託その１）,25000314128,2026-04-14,2026,12661000,12661000,10167000,埼玉県 県土整備部 越谷県土整備事務所,県土整備部,株式会社協和コンサルタンツ 関東営業所,10167000,30,道路,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:27:46,指名競争入札,道路改築工事（日尾工区構造物設計業務委託）,25000300394,2026-04-07,2026,3560000,3560000,2863000,埼玉県 県土整備部 秩父県土整備事務所,県土整備部,サンコーコンサルタント株式会社 北関東支店,2863000,10,道路,指名競争入札,false,0.804,0.804
2026/05/20 14:27:49,一般競争入札（ダイレクト入札）,北部流域元荒川幹線管路改築設計業務委託その２,25200157694,2026-04-07,2026,13879000,13879000,11125000,埼玉県 下水道局 荒川左岸北部下水道事務所,下水道局,株式会社オリンピアコンサルタント 埼玉営業所,11125000,15,下水道,一般競争入札（ダイレクト入札）,false,0.802,0.802
2026/05/20 14:27:51,一般競争入札（ダイレクト入札）,総委重）橋りょう整備工事（鴻巣立体詳細設計業務委託）,25100157134,2026-04-07,2026,89557000,89557000,71897000,埼玉県 総務部 入札課,その他部局,セントラルコンサルタント株式会社 北関東営業所,71897000,9,橋梁,総合評価,false,0.803,0.803
2026/05/20 14:27:56,一般競争入札（ダイレクト入札）,北部流域元荒川幹線管路改築設計業務委託その１,25200157693,2026-04-07,2026,15132000,15132000,12122000,埼玉県 下水道局 荒川左岸北部下水道事務所,下水道局,共和コンサルタント株式会社 本店,12122000,14,下水道,一般競争入札（ダイレクト入札）,false,0.801,0.801
2026/05/20 14:27:59,一般競争入札（ダイレクト入札）,南部流域南部幹線管渠改築実施設計業務委託,25200157603,2026-03-30,2025,9153000,9153000,7302000,埼玉県 下水道局 荒川左岸南部下水道事務所,下水道局,株式会社ジェーエステック 本店,7302000,24,下水道,一般競争入札（ダイレクト入札）,false,0.798,0.798
2026/05/20 14:28:01,一般競争入札（ダイレクト入札）,南部流域芝川幹線管渠改築基本設計業務委託,25200157602,2026-03-30,2025,9330000,9330000,7436000,埼玉県 下水道局 荒川左岸南部下水道事務所,下水道局,株式会社協和コンサルタンツ 関東営業所,7436000,19,下水道,一般競争入札（ダイレクト入札）,false,0.797,0.797
2026/05/20 14:28:03,一般競争入札（ダイレクト入札）,南部流域鴨川幹線管渠改築実施設計その２業務委託,25200157601,2026-03-30,2025,9767000,9767000,7804000,埼玉県 下水道局 荒川左岸南部下水道事務所,下水道局,株式会社日本設計コンサルタント 本店,7804000,24,下水道,一般競争入札（ダイレクト入札）,false,0.799,0.799
2026/05/20 14:28:05,一般競争入札（ダイレクト入札）,南部流域鴨川幹線管渠改築実施設計その１業務委託,25200157600,2026-03-30,2025,9767000,9767000,7804000,埼玉県 下水道局 荒川左岸南部下水道事務所,下水道局,株式会社日本インシーク 埼玉支店,7804000,23,下水道,一般競争入札（ダイレクト入札）,false,0.799,0.799
2026/05/20 14:28:07,指名競争入札,交差点整備工事（埼玉工区交通量推計業務委託）,25100157345,2026-03-26,2025,8329000,8329000,6689000,埼玉県 県土整備部 行田県土整備事務所,県土整備部,株式会社オリエンタルコンサルタンツ 埼玉事務所,6689000,12,道路,指名競争入札,false,0.803,0.803
2026/05/20 14:28:09,一般競争入札（ダイレクト入札）,街路整備工事（積算技術業務委託）,25100157491,2026-03-26,2025,14808000,14808000,11886000,埼玉県 県土整備部 杉戸県土整備事務所,県土整備部,三和建設コンサルタンツ株式会社 埼玉事務所,11886000,8,発注者支援,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:28:12,指名競争入札,橋りょう補修工事（下唐子歩道橋補修設計業務委託）,25100157595,2026-03-25,2025,6710000,6710000,5393000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,アジア航測株式会社 埼玉支店,5393000,18,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:28:14,指名競争入札,橋りょう補修工事（福田歩道橋補修設計業務委託）,25100157594,2026-03-25,2025,7475000,7475000,6008000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社日本設計コンサルタント 本店,6008000,18,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:28:16,指名競争入札,橋りょう補修工事（水穴歩道橋補修設計業務委託）,25100157593,2026-03-25,2025,7489000,7489000,6019000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,株式会社エイト日本技術開発 北関東支店,6019000,18,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:28:22,指名競争入札,橋りょう補修工事（岩鼻歩道橋補修設計業務委託）,25100157592,2026-03-25,2025,9048000,9048000,7271000,埼玉県 県土整備部 東松山県土整備事務所,県土整備部,東日本総合計画株式会社 本店,7271000,18,橋梁,指名競争入札,false,0.804,0.804
2026/05/20 14:28:24,一般競争入札（ダイレクト入札）,河川改修（水辺）工事（合角ダム受変電設備設計業務委託）,25000290003,2026-03-24,2025,9304000,9304000,7474000,埼玉県 県土整備部 秩父県土整備事務所,県土整備部,株式会社スリーエスコンサルタンツ 埼玉営業所,7474000,2,河川・砂防,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:28:26,指名競争入札,７釜兎設第２号ため池実施設計業務委託,25000299027,2026-03-24,2025,,,4915000,埼玉県 農林部 秩父農林振興センター,農林部,若鈴コンサルタンツ株式会社 埼玉事務所,5800000,11,農業土木,指名競争入札,false,,
2026/05/20 14:28:28,一般競争入札（ダイレクト入札）,総委重）社資（河川）（不老川護岸詳細設計）西武新宿線上流工区３,25000280898,2026-03-23,2025,12797000,12797000,10282000,埼玉県 県土整備部 川越県土整備事務所,県土整備部,共和コンサルタント株式会社 本店,10282000,16,河川・砂防,総合評価,false,0.803,0.803
2026/05/20 14:28:30,一般競争入札（ダイレクト入札）,社資（河川）工事（女堀川樋管詳細設計業務委託その３）,25000287154,2026-03-19,2025,15142000,15142000,12165000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,開発虎ノ門コンサルタント株式会社 埼玉事務所,12165000,21,河川・砂防,一般競争入札（ダイレクト入札）,false,0.803,0.803
